"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"d8922b24-d035-4d74-b364-a3b7ddedf830","108211699","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2016-03-25","25","03","2016","","","","","","NY4261","54.944827","-2.899164","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY46","NY46F","NY4261","United Kingdom","England","alive"
"d67752a3-ebee-4ea0-9797-a1babdf6d008","103171371","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-02","02","03","2017","","","","","","SD4683","54.244379","-2.822477","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD48","SD48R","SD4683","United Kingdom","England","alive"
"d47b51ba-436d-459d-b043-0b95368344a6","102961716","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2016-03-19","19","03","2016","","","","","","SD4987","54.28063","-2.777122","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD48","SD48Y","SD4987","United Kingdom","England","alive"
"d357e556-74fc-4971-9e58-a0136fdea0da","112306465","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-07","07","03","2018","","","","","","SD4875","54.172693","-2.790416","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD47","SD47X","SD4875","United Kingdom","England","alive"
"d1d6e9c5-1597-442d-a7bd-b80169e82364","111991961","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2019-03-24","24","03","2019","","","","","","SD4774","54.163605","-2.805558","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD47","SD47S","SD4774","United Kingdom","England","alive"
"ce76749d-e2cc-44ef-824d-c986532177a9","103066416","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","","","03","2017","","","","","","SD59","54.348544","-2.693789","7071.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD59","","","United Kingdom","England","alive"
"cbec1f48-febf-4260-80e5-cebdf04e73ac","99919750","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-03","03","03","2018","","","","","","NX85","54.8","-3.8","7071.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NX","NX85","","","United Kingdom","Scotland","alive"
"c78ec5c5-bc38-4e85-9665-7cbb8bb833b7","104326980","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-18","18","03","2017","","","","","","SD4875","54.172693","-2.790416","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD47","SD47X","SD4875","United Kingdom","England","alive"
"c1974ec5-cef4-4f81-8cb4-918842c4c2fe","102856462","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-08","08","03","2017","","","","","","SD4897","54.370393","-2.794209","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD49","SD49Y","SD4897","United Kingdom","England","alive"
"be838fd1-3779-48d1-8a09-b8e0c6004535","99397738","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-05","05","03","2018","","","","","","SD58I","54.276472","-2.723292","1414.2","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD58","SD58I","","United Kingdom","England","alive"
"bc08ee07-f032-4560-aac1-fa46c43b1fdc","117765353","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2018-03-26","26","03","2018","","","","","","NY2924","54.610718","-3.093067","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","NY","NY22","NY22X","NY2924","United Kingdom","England","alive"
"bbc3374b-5b76-4c52-93e8-3c73874113c7","117135762","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2017-03-13","13","03","2017","","","","","","SD2296","54.358112","-3.194068","707.1","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD29","SD29I","SD2296","United Kingdom","England","alive"
"b97261cc-a861-45bb-90ab-fc2b589b8cba","117870667","CC-BY-NC","BTO","Turdus iliacus","Linnaeus, 1758","","Redwing","NHMSYS0000530673","species","present","2019-03-17","17","03","2019","","","","","","SD58C","54.25831","-2.753676","1414.2","","Withheld","","","","","","","","","","Accepted - considered correct","HumanObservation","","Birds (BTO+partners) 2016 - 2019","dr2382","British Trust for Ornithology","dp29","BTO","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus","SD","SD58","SD58C","","United Kingdom","England","alive"
